class_id,updated_at,skills,location,provided_materials,instructor,learning_objectives,title,cost,description,course_type,id
CLASS_0060,2026-03-30 13:12:21.770000+00:00,"['Yarn spinning', 'Storytelling', 'Color theory', 'Fiber blending', 'Texturing techniques']",Chester,"['Raw wool in various colors', 'Spindles and spinning wheels', 'Story-starter prompts', 'Color blending guides', 'Texture swatches']",Professor Twiddlethimble,"['Master the art of spinning yarn from raw wool.', 'Craft a personalized story inspired by their spun yarn.', 'Understand color theory and fiber blending techniques.', 'Explore the history of storytelling in fiber arts.', 'Perfect techniques for creating textures and patterns in yarn.']",Fantastical Yarnspinning: Spinning Tales and Fibers,80.0,"Join Professor Twiddlethimble in Chester for an unforgettable journey into the whimsical world of Fantastical Yarnspinning! This enchanting class combines the tactile art of spinning with the imaginative art of storytelling. Students will learn to spin their own yarn using raw wool provided in an array of vibrant colors. Professor Twiddlethimble will guide the class through the essential techniques of fiber blending and color theory to create unique yarns that tell their own stories. But that's not all! As they spin, students will weave tales inspired by the textures and hues of their crafted fibers. Story-starter prompts will help ignite creativity, encouraging participants to explore their inner bard. As yarns take shape, so will narratives, culminating in a mini storytelling session where students share their creations. Throughout the day, participants will delve into the fascinating history of storytelling in fiber arts, discovering how tales and textiles have intertwined through ages. By the end of the session, each student will have mastered both the art of yarn spinning and the craft of storytelling, leaving with a skein of hand-spun yarn and a unique story that is truly their own. Fantastical Yarnspinning is perfect for those seeking to enrich their creative lives with a touch of whimsy and a dash of skill.",Fiber Arts,CLASS_0060 Fantastical Yarnspinning: Spinning Tales and Fibers
CLASS_0070,2026-03-30 13:12:12.042000+00:00,"['macramé', 'fiber arts', 'color theory', 'creativity', 'therapeutic crafting']",Brighton,"['Selection of vibrant yarns and cords', 'A variety of beads and charms', 'Assorted found objects (shells, feathers, trinkets)', 'Macramé pattern guides', 'A portable crafting board']",Professor Knott McCord,"['Master basic macramé knots such as the square knot and hitch knot', 'Create a whimsical wall hanging inspired by fantastical creatures', 'Understand the therapeutic benefits of working with fibers', 'Explore color theory through the selection of vibrant yarns', 'Learn to incorporate found objects into macramé designs']",Magical Macramé Mixtures,55.0,"Step into a world where fibers twist and turn into fantastical forms with our ""Magical Macramé Mixtures"" class in Brighton. Led by the playful Professor Knott McCord, this enchanting journey invites adults to explore the whimsical side of fiber arts. Students will first learn to master fundamental knots, such as the square knot and hitch knot, setting the foundation for their macramé creation. Once equipped with knotting skills, participants will dive into crafting a mystifying wall hanging, inspired by the fantastical creatures of their imaginations. Along the way, you'll explore the world of color theory, selecting vibrant yarns to bring your enchanting designs to life. Professor McCord will guide students in incorporating found objects like shells, feathers, and trinkets into their pieces, adding a personal touch. Beyond the technical skills, this class emphasizes the therapeutic benefits of working with fibers. With each knot tied and each color chosen, students will find themselves relaxing and enjoying the soothing rhythm of creation. By the end of this session, not only will you have a unique macramé piece to adorn your walls, but you'll also gain a deeper appreciation for the art of weaving joy into everyday life. Join us on this magical journey and let your creativity soar!",Fiber Arts,CLASS_0070 Magical Macramé Mixtures
CLASS_0140,2026-03-30 13:12:10.597000+00:00,"['Pickling', 'Culinary Arts', 'Joyful Living', 'Creative Cooking', 'Preservation Techniques']",Northumberland,"['Fresh vegetables and fruits for pickling', 'Assorted spices and herbs', 'Glass jars and lids', 'Laughter-infused brine ingredients', 'Recipe booklet of joyful pickling combinations']",Professor Chortleberry,"['Master the basics of pickling vegetables and fruits with a humorous twist.', 'Develop the skill of creating unique, joy-infused brines.', 'Learn to incorporate laughter and joy into everyday culinary practices.', 'Explore the historical and global contexts of pickling as a form of preservation and fun.', ""Create a personalized 'giggle jar' of pickles to take home.""]",The Art of Laughter-Pickling,75.0,"Welcome to 'The Art of Laughter-Pickling' where we combine the centuries-old tradition of preserving food with the delightful joy of laughter! Led by the whimsical Professor Chortleberry, this class will have you chuckling your way through the culinary art of pickling. Situated in the picturesque setting of Northumberland, this session is designed for adults seeking to infuse some silliness and joy into their kitchen routines. Participants will begin by exploring the basics of pickling, learning how to create a variety of laughter-infused brines using a selection of fresh vegetables and fruits. As you chop, slice, and prepare your ingredients, Professor Chortleberry will guide you through the humorous history of pickling, highlighting how different cultures have used this technique to preserve not only food but also joy. The class will engage you in hands-on activities, including the creation of your own 'giggle jar'—a personalized jar of pickles that embodies your unique sense of humor. You'll experiment with spices and herbs, discovering how these elements can enhance both flavor and fun. By the end of the session, you'll not only have a delightful jar to take home but also the skills to bring laughter and joy to your culinary endeavors. Join us in this delightful culinary adventure and embrace the whimsical art of laughter-pickling!",Culinary Arts,CLASS_0140 The Art of Laughter-Pickling
CLASS_0224,2026-03-30 13:12:18.515000+00:00,"['Calligraphy', 'History', 'Artistic Design', 'Cultural Appreciation', 'Creative Writing']",Glasgow,"['Quill pens', 'Homemade ink', 'Parchment paper', 'Gold leaf sheets', 'Calligraphy guides']",Sir Scribbleworth,"['Master the art of medieval calligraphy using authentic techniques.', 'Understand the cultural significance of illuminated manuscripts.', 'Learn the fundamentals of ink preparation using natural materials.', 'Create a personal illuminated letter using traditional designs.', 'Develop an appreciation for historical storytelling through art.']",Medieval Merriment with Quill & Ink,85.0,"Immerse yourself in the enchanting world of medieval manuscripts with 'Medieval Merriment with Quill & Ink', hosted by the esteemed Sir Scribbleworth. This class will transport you to a time where the written word was a labor of love, crafted with precision and adorned with artistic flair. Participants will begin by learning the fundamentals of medieval calligraphy, using quill pens and homemade ink concocted from the finest natural materials. Under Sir Scribbleworth’s jovial tutelage, students will explore the significance of illuminated manuscripts, those splendid works of art that merged storytelling with intricate designs. As you delve into the secrets of ink preparation, you'll gain insight into the historical methods that brought vibrancy to parchment. Once adept with your quill, you'll embark on creating your own illuminated letter. With guidance on traditional patterns, you'll embellish your initial with gold leaf, bringing it to life in a way that shines both literally and metaphorically. This hands-on experience will not only refine your artistic skills but also deepen your appreciation for the cultural storytelling of yore. Whether you're a history enthusiast or simply looking for a whimsical escape from the mundane, this class promises a delightful blend of learning and laughter. Embrace the quirks of the past and discover the joy of crafting beauty from ink and imagination.",Heritage Crafts,CLASS_0224 Medieval Merriment with Quill & Ink
CLASS_0317,2026-03-30 13:12:03.130000+00:00,"['Cooking', 'Creative Writing', 'Cultural History', 'Presentation', 'Creative Thinking']",Cornwall,"['Organic flour and butter', 'Locally sourced ingredients for pasty fillings', 'Poetry writing materials', 'Aprons with Cornish patterns', 'Recipe and poetry booklet']",Chef Rhubarb Mince,"['Master the art of crafting the perfect Cornish pasty', 'Learn to create deliciously whimsical pasty fillings', 'Discover how to weave poetry into pastry making', 'Understand the historical significance of pasty making', 'Develop culinary creativity and presentation skills']",Cornish Pasty Poetry & Patisserie,85.0,"Welcome to the Cornish Pasty Poetry & Patisserie class, where culinary arts meet lyrical expression in the heart of Cornwall. Under the guidance of Chef Rhubarb Mince, a master pastry chef with a flair for verse, you'll embark on a delightful journey of crafting perfect Cornish pasties while spicing them up with poetic charm. Students will start by getting hands-on with the basics of pasty dough making, learning the secrets to achieving flaky perfection. As you knead and fold, Chef Mince will regale you with the rich history of the Cornish pasty, explaining its role in local culture and its fascinating evolution. Once the dough is ready, you'll dive into creating whimsical fillings, experimenting with traditional and imaginative ingredients sourced locally. But the fun doesn't stop there! You'll be encouraged to weave poetry into your patisserie process, penning verses inspired by your culinary creations. By the end of the class, participants will have mastered the art of both pasty-making and poetry, culminating in a tasting session where your culinary and literary masterpieces are shared and savored. Whether you're a budding chef or a poetic soul, this class promises a unique blend of tradition, creativity, and fun.",Traditional Skills,CLASS_0317 Cornish Pasty Poetry & Patisserie
CLASS_0341,2026-03-30 13:12:13.439000+00:00,"['Wellness', 'Mindfulness', 'Creativity', 'Stress Relief', 'Community Building']",Peak District,"['Clay and pottery tools', 'Yoga mats', 'Aprons', 'Laughter yoga guidebook', 'Complimentary herbal tea']",Joyce Chuckles,"['Master the basics of laughter yoga for stress relief', 'Create unique pottery pieces while laughing', 'Understand the health benefits of laughter and creativity', 'Develop techniques for incorporating joy into daily routines', 'Connect with others through shared joyful experiences']",Laughter Yoga and Giggle Pottery,75.0,"Join us in the enchanting landscapes of the Peak District for an unforgettable fusion of laughter yoga and pottery in this delightful class. Led by the effervescent Joyce Chuckles, 'Laughter Yoga and Giggle Pottery' is a whimsical adventure into the realms of joy and creativity. This class is designed to teach participants how to tap into the boundless potential of laughter to enhance well-being and creativity. The session begins with an invigorating laughter yoga session where you will learn exercises that combine deep breathing and playful laughter. These techniques are not only fun but have been shown to reduce stress, improve mood, and support overall health. Once your spirits are lifted, we transition into the pottery studio where laughter continues to flow. With clay in hand, you will create pottery pieces that capture the joy of the moment. Joyce will guide you through basic pottery techniques as you mold clay into expressive shapes and forms, all while maintaining a light- hearted atmosphere. Throughout the class, participants will explore the profound connection between laughter and creative expression. Joyce will share insights on how to incorporate joyous practices into everyday life, ensuring that the benefits extend far beyond the classroom. With the sound of giggles echoing in the studio and the beauty of your unique pottery in hand, you will leave with both tangible creations and a renewed zest for life.",Wellness,CLASS_0341 Laughter Yoga and Giggle Pottery
CLASS_0425,2026-03-30 13:12:13.010000+00:00,"['Culinary Arts', 'Preservation', 'Cultural History', 'Flavor Balancing', 'Creative Packaging']",Inverness,"['Citrus fruits (oranges, lemons)', 'Unique ingredients (ginger, whisky, heather honey)', 'Sterilized jars', 'Labels and decorative materials', 'Aprons with marmalade-themed motifs']",Chef Marmalock,"['Master the art of making traditional Scottish marmalade with a twist.', 'Learn about the history and cultural significance of marmalade in Scotland.', 'Develop skills in flavor balancing by incorporating unique ingredients.', 'Understand the science behind marmalade setting and preservation.', 'Create personalized labels and packaging for homemade marmalade.']",The Magical Marmalade Adventure,55.0,"Welcome to 'The Magical Marmalade Adventure,' where your culinary journey begins amidst the charming backdrop of Inverness! Guided by the illustrious Chef Marmalock, a wizard in the world of preserves, this delightful class will teach you the timeless craft of marmalade-making. Prepare to plunge your senses into a symphony of zesty aromas and vibrant colors as you chop fresh citrus fruits and infuse them with an imaginative array of ingredients such as ginger, whisky, and heather honey. Explore the rich history of marmalade, revered as a Scottish culinary treasure, and uncover the secrets of perfect set and preservation techniques. While the marmalade simmers, dive into the art of flavor balancing, experimenting with zesty notes and sweet undertones to create a bespoke preserve that tickles the taste buds. The most whimsical part? Designing your very own labels and packaging to give your jars a personal touch. Choose from an assortment of decorative elements to create something truly unique, transforming your creation into a delightful gift or a cherished addition to your pantry. By the end of this enchanting escapade, you'll leave with a newfound appreciation for this citrusy delight and the skills to craft your own marmalade masterpieces at home.",Culinary Arts,CLASS_0425 The Magical Marmalade Adventure
CLASS_0460,2026-03-30 13:12:21.368000+00:00,"['Sketching', 'Painting', 'Color Theory', 'Artistic Expression', 'Creativity']",Chester,"['Sketch pads', 'Watercolor paints', 'Brushes of various sizes', 'Feather-texture stencils', 'Color blending chart']",Professor Avian Artistry,"['Master the art of bird sketching using whimsical techniques.', ""Learn to capture the essence of a bird's personality in portraits."", 'Develop unique brushstroke styles inspired by bird movements.', 'Explore color theory through the vibrant plumage of various birds.', 'Craft personalized bird art that tells a story.']",Fantastical Feathered Friend Portraits,90.0,"Welcome to 'Fantastical Feathered Friend Portraits,' an enchanting class where the avian world meets the canvas. Led by the illustrious Professor Avian Artistry, this whimsical course invites adults to explore the vibrant and joyful art of bird portraiture. Nestled in Chester, students will embark on a delightful journey to capture the essence of birds through art. Throughout the class, participants will dive into the whimsical techniques of bird sketching, where they'll learn to combine observation with creative flair. Under the guidance of Professor Artistry, students will master the ability to capture a bird's personality, using playful brushstroke styles mimicking the movements of wings and tail feathers. Color theory takes flight as pupils explore the palette of nature, examining the radiant plumage of various birds. From the fiery hues of a cardinal to the subtle elegance of a dove, students will learn to blend colors artistically, creating vivid and realistic representations. The class fosters creativity and expression, encouraging students to craft personalized art pieces that tell a story. By the end of the session, each participant will have completed a series of portraits that reflect not only the beauty of birdlife but also a touch of whimsy. Join us for an experience where art and nature collide, and uncover the joy hidden within the strokes of your brush.",Creative Arts,CLASS_0460 Fantastical Feathered Friend Portraits
CLASS_0475,2026-03-30 13:11:54.440000+00:00,"['Laughter therapy', 'Mindfulness', 'Breathing techniques', 'Stress reduction', 'Emotional wellness']",Canterbury,"['Laughter yoga manual', 'Comfy yoga mats', 'Bubble wand for laughter exercises', ""A 'Joy Journal' for personal reflections"", 'Colorful, silly hats to wear during sessions']",Giggles McGee,"['Understand the science behind laughter and its health benefits', 'Learn and practice various laughter yoga exercises', 'Develop techniques to incorporate more joy and silliness into everyday life', 'Explore the connection between breathing and emotional well-being', 'Cultivate a positive mindset through humor and play']",Laughter Yoga with Giggles McGee,75.0,"Step right into a world of merriment and wellness with our 'Laughter Yoga with Giggles McGee' class, nestled in the serene city of Canterbury. Designed for adults who find themselves bogged down by the humdrum of daily life, this class is the perfect antidote. Led by our charismatic instructor, Giggles McGee, a certified Laughter Yoga Leader with a penchant for whimsy, you'll embark on a journey to rediscover the simple joy of laughter. During the class, you’ll engage in various laughter yoga exercises that not only tickle your funny bone but also enhance your physical and emotional well-being. We'll delve into the fascinating science of laughter and its profound effects on stress reduction, immune boosting, and overall happiness. Each session begins with gentle breathing, followed by playful exercises like 'The Merry Mime', where you'll engage in exaggerated expressions and hilarious scenarios. You'll leave armed with practical techniques to incorporate laughter into your daily routine, whether it's through spontaneous giggles or structured laughter sessions. As a bonus, each participant receives a 'Joy Journal' to jot down their reflections, a whimsical reminder of the laughter shared. So don your silliest hat, grab your bubble wand, and join us for a class that promises an uproarious good time, all while fostering a healthier, happier you.",Wellness,CLASS_0475 Laughter Yoga with Giggles McGee
CLASS_0494,2026-03-30 13:12:11.865000+00:00,"['Carving', 'Heritage Crafts', 'Mindfulness', 'Folklore', 'Decorative Finishing']",Exeter,"['Locally sourced greenwood logs', 'Carving knives and gouges', 'Sandpaper of various grades', 'Non-toxic wood oils and waxes', 'Heritage booklet on spoon lore']",Master Whittler Gwyn,"['Master basic and advanced wooden spoon carving techniques.', 'Understand the history and folklore surrounding wooden spoon traditions in the UK.', 'Learn to apply unique decorative finishes using traditional methods.', 'Discover the art of whispering secret charms into wooden items.', 'Cultivate mindfulness and patience through detailed craftsmanship.']",The Enchanted Spoon: Traditional Wooden Spoon,95.0,"In the heart of Exeter, embark on a whimsical journey into the world of 'The Enchanted Spoon: Traditional Wooden Spoon Carving and Charm Whispering.' Under the enchanting guidance of Master Whittler Gwyn, a craftsman whose name is synonymous with the art of whittling, adults will rediscover the joy of creating beauty from the simplest materials. This class delves into the rich cultural tapestry of wooden spoon carving, a heritage craft that has been cherished in the UK for centuries. Students will start by learning essential carving techniques, from selecting the perfect piece of greenwood to shaping it with precision tools. As spoons begin to take form, Master Gwyn will share captivating tales of spoon lore, weaving in the folklore that breathes life into each carved piece. Beyond the practical, students will be introduced to the intriguing technique of whispering protective charms into their creations, an age-old tradition believed to imbue objects with luck and goodwill. Through each stroke and whisper, participants will not only craft a functional piece but also engage in a meditative practice that fosters patience and mindfulness. With the support of provided materials like carving knives and a heritage booklet, students will leave with a unique, hand-crafted spoon and stories that echo through time.",Heritage Crafts,CLASS_0494 The Enchanted Spoon: Traditional Wooden Spoon
